y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.68,0.56,0.03,92,2.6,75400.14,333,26300.69,991382.98,0,0,0.62,CS,B,购物中心,279,T1,106,6
0.68,0.59,-0.12,92,2.2,64123.43,319,8287.75,991382.98,0,0,0.61,CS,B,购物中心,279,T1,106,6
0.69,0.63,1.48,92,6.3,180985.47,366,8195.49,991382.98,0,0,0.6,CS,B,购物中心,279,T1,106,6
0.65,0.54,-0.1,92,2.3,65645.44,330,256.76,991382.98,2,12255,0.6,CS,B,购物中心,279,T1,106,6
0.66,0.58,0.11,92,2.8,81423.93,343,5512.82,991382.98,6,5255,0.6,CS,B,购物中心,279,T1,106,6
0.65,0.54,-0.11,95,2.3,65016.95,356,18282.63,991382.98,6,18393,0.61,CS,B,购物中心,279,T1,106,6
0.64,0.57,0.33,95,3.1,88510.11,355,0,991382.98,4,10920,0.61,CS,B,购物中心,279,T1,106,6
0.66,0.58,-0.15,95,2,56522.65,359,0,991382.98,3,16595,0.61,CS,B,购物中心,279,T1,106,6
0.64,0.6,-0.61,93,2.4,68558.69,361,0,991382.98,3,14695,0.61,CS,B,购物中心,279,T1,106,6
0.66,0.62,0.85,93,7,200757.41,330,2834,991382.98,7,14511,0.6,CS,B,购物中心,279,T1,106,6
0.64,0.19,-0.09,93,2.5,71766.29,302,2301.02,991382.98,6,14216,0.6,CS,B,购物中心,279,T1,106,6
0.61,0.5,-0.34,97,3.3,94135.25,279,3459.2,991382.98,4,14166,0.55,CS,B,购物中心,279,T1,106,6
0.65,0.51,0.05,97,2.8,78833.32,304,621.78,991382.98,13,14938,0.61,CS,B,购物中心,279,T1,106,6
0.65,0.12,0.29,97,2.9,82709.6,320,5737.75,991382.98,10,12241,0.62,CS,B,购物中心,279,T1,106,6
0.64,0.27,-0.31,95,4.1,125484.1,329,2459.53,991382.98,9,13582,0.59,CS,B,购物中心,279,T1,106,6
0.67,0.28,0.81,95,3.9,118947.74,343,15027.57,991382.98,5,31571,0.63,CS,B,购物中心,279,T1,106,6
0.63,0.21,0.32,95,3.6,107244.5,382,9523.73,991382.98,7,13668,0.62,CS,B,购物中心,279,T1,106,6
0.63,0.11,1.32,95,5.1,151072.85,368,203867.95,991382.98,11,21332,0.57,CS,B,购物中心,279,T1,106,6
0.67,0.33,0.45,95,4.2,128511.73,387,0,991382.98,6,16719,0.62,CS,B,购物中心,279,T1,106,6
0.61,0.14,0.66,95,3,93923.44,373,0,991382.98,6,14238,0.61,CS,B,购物中心,279,T1,106,6
0.62,0.17,0.45,95,3.3,99695.21,353,188,991382.98,12,13915,0.64,CS,B,购物中心,279,T1,106,6
0.6,0.31,-0.18,95,5.5,164907.51,303,7044.77,991382.98,7,24597,0.59,CS,B,购物中心,279,T1,106,6
