gdp,t,exports,imports,state,t3,t12
-.60000002,1947q2,-4.9000001,8,5.5,.38,
-.30000001,1947q3,-18.799999,-38.200001,9.6999998,.73666668,
6.1999998,1947q4,-38.200001,23.5,6.5999999,.9066667,
6.5,1948q1,-17,61.700001,-.60000002,.99000001,
7.5999999,1948q2,-32.5,16.799999,12,1,
2.2,1948q3,9.8000002,22.6,7.3000002,1.05,
.60000002,1948q4,-13.4,-6.3000002,10,1.14,
-5.4000001,1949q1,57.200001,-11.4,17.6,1.17,
-1.4,1949q2,-3.4000001,-5.6999998,24.799999,1.17,
4.5999999,1949q3,-29.4,-15.4,17.700001,1.0433331,
-3.7,1949q4,-43.900002,6.0999999,7.9000001,1.076667,
17.200001,1950q1,-6.4000001,11.7,10.3,1.103333,
12.7,1950q2,5,24,3.4000001,1.1533329,
16.6,1950q3,10.7,131.8,.30000001,1.22,
7.1999998,1950q4,36.5,.80000001,.2,1.3366669,
5.0999999,1951q1,21.6,0,-3.9000001,1.366667,
6.8000002,1951q2,45.5,-12.6,7,1.49,
8.1999998,1951q3,10.2,-29.9,2,1.603333,
.69999999,1951q4,-3.7,-10.1,-.60000002,1.61,
4.0999999,1952q1,23,55.099998,1.3,1.566667,
.40000001,1952q2,-37.299999,-2,8.8000002,1.646667,
2.7,1952q3,-28,26.9,-10.4,1.7833329,
13.9,1952q4,2.7,40.900002,9.8000002,1.893333,
7.6999998,1953q1,-6.5999999,-9.5,8.8000002,1.98,
3.0999999,1953q2,2.5,22.5,-.69999999,2.1533329,2.4300001
-2.4000001,1953q3,17,-1.5,11.1,1.9566669,2.2866671
-6.1999998,1953q4,-12.5,-18.299999,10.1,1.473333,1.7066669
-1.9,1954q1,-16.799999,-21.200001,15.2,1.0599999,1.226667
.5,1954q2,71.099998,41.200001,1.6,.79000002,.87666672
4.5999999,1954q3,-12.3,-22,11.6,.88333333,.91666663
8.3000002,1954q4,19.799999,3.9000001,1.9,1.02,1.173333
12,1955q1,15.6,25.799999,17.9,1.223333,1.516667
