Latitude,Longitude,Year,DiseaseCases,Twinter,Frost,Rain
302021,6281922,2010,1,4.840916667,0,190
285567,6186730,2012,1,5.168983,0,106
208233,6263161,2012,1,5.412065,0,166
235763,6241428,2012,1,5.20424,0,189
527808,6391032,2011,2,3.612984333,4,21
523856,6379346,2011,0,3.59508,0,421
512881,6418571,2011,0,3.464872667,0,532
501065,6428299,2011,2,3.253129333,4,28
498576,6394546,2012,2,3.323813333,5,59
522183,6434839,2010,0,3.247529667,0,335
525130,6407276,2011,0,3.613504667,0,430
233315,6315005,2012,1,4.735951,0,141
287607,6305826,2012,2,5.317492667,4,25.200001
273339,6307136,2012,5,5.701145667,8,0
