地区,区域划分,三大地带,地区生产总值,固定资产投资,社会消费品零售总额,出口总额,地方财政收入,电力消费量,CPI,居民消费水平,年末总人口
北京市,华北,东部地带,21330.83,6924.23,9638,316.48965,4027.16,937.1,101.6,36057,2152
天津市,华北,东部地带,15726.93,10518.19,4738.7,520.11447,2390.35,794.36,101.9,28492,1517
河北省,华北,东部地带,29421.15,26671.92,11820.5,491.37848,2446.62,3314.11,101.7,12171,7384
山西省,华北,中部地带,12761.49,12354.53,5717.9,116.09444,1820.64,1822.63,101.7,12622,3648
内蒙古自治区,华北,西部地带,17770.19,17591.83,5657.6,64.00176,1843.67,2416.74,101.6,19827,2505
辽宁省,东北,东部地带,28626.58,24730.8,11857,556.60612,3192.78,2038.73,101.7,22260,4391
吉林省,东北,中部地带,13803.14,11339.62,6080.9,62.46157,1203.38,667.81,102,13663,2752
黑龙江省,东北,中部地带,15039.38,9828.99,7015.3,121.66562,1301.31,859.42,101.5,15215,3833
上海市,华东,东部地带,23567.7,6016.43,9303.5,1919.46645,4585.55,1369.03,102.7,43007,2426
江苏省,华东,东部地带,65088.32,41938.62,23458.1,3505.58448,7233.14,5012.54,102.2,28316,7960
浙江省,华东,东部地带,40173.03,24262.77,17835.3,2811.04038,4122.02,3506.39,102.1,26885,5508
安徽省,华东,中部地带,20848.75,21875.58,7957,265.09456,2218.44,1585.18,101.6,12944,6083
福建省,华东,东部地带,24055.76,18177.86,9346.7,975.84603,2362.21,1855.79,102,19099,3806
江西省,华东,中部地带,15714.63,15079.26,5292.6,270.88555,1881.83,1018.52,102.3,12000,4542
山东省,华东,东部地带,59426.59,42495.55,25111.5,1549.97124,5026.83,4223.49,101.9,19184,9789
河南省,中南,中部地带,34938.24,30782.17,14005,425.33523,2739.26,2919.57,101.9,13078,9436
湖北省,中南,中部地带,27379.22,22915.3,12449.3,239.80341,2566.9,1656.54,102,15762,5816
湖南省,中南,中部地带,27037.32,21242.92,10723.5,170.90676,2262.79,1430.88,101.9,14384,6737
广东省,中南,东部地带,67809.85,26293.93,28471.1,7453.09548,8065.08,5235.23,102.3,24582,10724
广西壮族自治区,中南,西部地带,15672.89,13843.22,5772.8,130.42588,1422.28,1307.99,102.1,12944,4754
海南省,中南,东部地带,3500.72,3112.23,1224.5,41.85305,555.31,251.88,102.4,12915,903
重庆市,西南,西部地带,14262.6,12285.42,5710.7,519.03012,1922.02,867.24,101.8,17262,2991
四川省,西南,西部地带,28536.66,23318.57,12393,366.84024,3061.07,2014.79,101.6,13755,8140
贵州省,西南,西部地带,9266.39,9025.75,2936.9,35.80049,1366.67,1173.74,102.4,11362,3508
云南省,西南,西部地带,12814.59,11498.53,4632.9,105.16689,1698.06,1529.38,102.4,12235,4714
西藏自治区,西南,西部地带,920.83,1069.23,364.5,20.4719,124.27,33.98,102.9,7205,318
陕西省,西北,西部地带,17689.94,17191.92,5918.7,141.37416,1890.4,1226.01,101.6,14812,3775
甘肃省,西北,西部地带,6836.82,7884.13,2668.3,20.80261,672.67,1095.48,102.1,10678,2591
青海省,西北,西部地带,2303.32,2861.23,620.8,3.15549,251.68,723.21,102.8,13534,583
宁夏回族自治区,西北,西部地带,2752.1,3173.79,737.2,26.66589,339.86,848.75,101.9,15193,662
新疆维吾尔自治区,西北,西部地带,9273.46,9447.74,2436.5,175.49857,1282.34,1900.24,102.1,12435,2298
