学号,课程名称,学分,平时成绩,期中成绩,期末成绩,实验成绩,总评成绩,备注,折算成绩,补考成绩,补考成绩备注,重修成绩,绩点,课程性质,课程归属,重修标记,选课课号,学年
1101,形势与政策,0.5,,,,NA,65,,65,NA,,NA,1.5,公共必修课,,NA,(2012-2013-1)-03132092-48671,2012-2013
1101,线性代数,3,,,,NA,68.4,,68.4,NA,,NA,1.84,专业基础课,,NA,(2012-2013-1)-07132103-48676,2012-2013
1101,高等数学,5,,,,NA,78.7,,78.7,NA,,NA,2.87,专业基础课,,NA,(2012-2013-1)-07132016-48675,2012-2013
1101,大学英语,4,,,,NA,81.3,,81.3,NA,,NA,3.13,公共课,,NA,(2012-2013-1)-04132060-48672,2012-2013
1101,计算机导论,2,,,,NA,85,,85,NA,,NA,3.5,公共必修课,,NA,(2012-2013-1)-05132035-48674,2012-2013
1101,体育,1,,,,NA,85,,85,NA,,NA,3.5,专业基础课,,NA,(2012-2013-1)-08011003-48677,2012-2013
1101,程序设计基础(C语言),4,,,,NA,86.6,,86.6,NA,,NA,3.66,专业必修课,,NA,(2012-2013-1)-05011049-48673,2012-2013
1101,马克思主义基本原理,2,,,,NA,86.8,,86.8,NA,,NA,3.68,公共基础课,,NA,(2012-2013-1)-03011001-48670,2012-2013
1101,心理健康教育,2,,,,NA,95,,95,NA,,NA,4.5,公共课,,NA,(2012-2013-1)-10332063-48678,2012-2013
1101,公共体育,1,,,75,NA,75,,75,NA,,NA,2.5,公共基础课,公共体育必修,0,(2012-2013-2)-08132037-08010029-5,2012-2013
1101,程序设计基础项目,1.5,,,,78,78,,78,NA,,NA,2.8,实践课,,0,(2012-2013-2)-10401510-05010034-1,2012-2013
1101,大学英语(2),4,95,95,70.5,NA,83,,83,NA,,NA,3.3,公共必修课,,0,(2012-2013-2)-10304008-04010016-3,2012-2013
1101,新技术讲座(2),0.5,,,85,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2012-2013-2)-10400505-05010031-3,2012-2013
1101,数据结构,4,85,,55,NA,67,,67,NA,,NA,1.7,专业必修课,,0,(2012-2013-2)-10404010-05010037-1,2012-2013
1101,电路原理,2,87,,67,NA,73,,73,NA,,NA,2.3,专业必修课,,0,(2012-2013-2)-10402012-05080001-1,2012-2013
1101,大学物理(1),4,80,,72,NA,74,,74,NA,,NA,2.4,专业必修课,,0,(2012-2013-2)-10404005-05010027-1,2012-2013
1101,高等数学(2),5,90,,74,NA,80,,80,NA,,NA,3,专业必修课,,0,(2012-2013-2)-10405004-05010045-2,2012-2013
1101,离散数学,4,100,,71,NA,80,,80,NA,,NA,3,专业必修课,,0,(2012-2013-2)-10404008-07010013-2,2012-2013
1101,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-30900501-03010003-12,2012-2013
1101,思想道德修养与法律基础,2,95,,86,NA,90,,90,NA,,NA,4,公共必修课,,0,(2012-2013-2)-10902005-03010009-1,2012-2013
1101,田径,2,84,0,64,0,68,,68,NA,,NA,1.8,公共必修课,,0,(2013-2014-1)-09-08010029-6,2013-2014
1101,大学物理实验,1,,,,70,70,,70,NA,,NA,2,实践课,,0,(2013-2014-1)-10401003-05010027-3,2013-2014
