date,power
2016/1/1,424.2
2016/1/2,1191
2016/1/3,891.59
2016/1/4,9538.8
2016/1/5,13306.8
2016/1/6,13145.39
2016/1/7,8568
2016/1/8,8513.41
2016/1/9,12441
2016/1/10,8238
2016/1/11,130.81
2016/1/12,4575
2016/1/13,12384.63
2016/1/14,12440.41
2016/1/15,12964.19
2016/1/16,9196.19
2016/1/17,9469.19
2016/1/18,10823.41
2016/1/19,13221.63
2016/1/20,14307
2016/1/21,14183.41
2016/1/22,10930.22
2016/1/23,13764.59
2016/1/24,10206
2016/1/25,10599
2016/1/26,14056.81
2016/1/27,15092.41
2016/1/28,14965.22
2016/1/29,15135
2016/1/30,13833
2016/1/31,9195.56
2016/2/1,10802.38
2016/2/2,12588.56
2016/2/3,12488.38
2016/2/4,13761.63
2016/2/5,13638
2016/2/6,7779
2016/2/7,418.81
2016/2/8,378.56
2016/2/9,427.81
2016/2/10,919.75
2016/2/11,8512.19
2016/2/12,5401.25
2016/2/13,0
2016/2/14,0
2016/2/15,5010.63
2016/2/16,12858
2016/2/17,12883.19
2016/2/18,12900.63
2016/2/19,12945
2016/2/20,12837
2016/2/21,4489.81
2016/2/22,10259.38
2016/2/23,13625.38
2016/2/24,13449.63
2016/2/25,13552.19
2016/2/26,13639.75
2016/2/27,13306.81
2016/2/28,4462.81
2016/2/29,10155
2016/3/1,13841.38
2016/3/2,9633.06
2016/3/3,13710
2016/3/4,13819.19
2016/3/5,14006.38
2016/3/6,9435
2016/3/7,10344
2016/3/8,14141.38
2016/3/9,14406
2016/3/10,14305.19
2016/3/11,14481.63
2016/3/12,14577.56
2016/3/13,9625.19
2016/3/14,10607.44
2016/3/15,14368.19
2016/3/16,14025
2016/3/17,13662.56
2016/3/18,13653
2016/3/19,12663
2016/3/20,8466
2016/3/21,10228.25
2016/3/22,14083.25
2016/3/23,14015.38
2016/3/24,14143.25
2016/3/25,13924.25
2016/3/26,13895.38
2016/3/27,8751.63
2016/3/28,10440
2016/3/29,13738.75
2016/3/30,13960.75
2016/3/31,13818.63
2016/4/1,13506
2016/4/2,6120
2016/4/3,966.63
2016/4/4,385.75
2016/4/5,10315.25
2016/4/6,14100.63
2016/4/7,13846.25
2016/4/8,13771.13
2016/4/9,13329
2016/4/10,4581
2016/4/11,10297.75
2016/4/12,13744.75
2016/4/13,13624.75
2016/4/14,13742.38
2016/4/15,13958.38
2016/4/16,13249.88
2016/4/17,4978.88
2016/4/18,10509
2016/4/19,13926
2016/4/20,13933.13
2016/4/21,14466
2016/4/22,13258.88
2016/4/23,14007
2016/4/24,5362.13
2016/4/25,10119.63
2016/4/26,15168.63
2016/4/27,15505.75
2016/4/28,15413.38
2016/4/29,15038.5
2016/4/30,14295.13
2016/5/1,339
2016/5/2,3409.75
2016/5/3,10791
2016/5/4,14920.13
2016/5/5,14473.25
2016/5/6,15078
2016/5/7,14710.75
2016/5/8,6075
2016/5/9,10757.38
2016/5/10,14366.5
2016/5/11,14698.25
2016/5/12,14602.13
2016/5/13,15281.38
2016/5/14,15644.5
2016/5/15,7181.38
2016/5/16,11419.88
2016/5/17,15224.5
2016/5/18,14934
2016/5/19,15219
2016/5/20,14954.38
2016/5/21,14341.25
2016/5/22,7185
2016/5/23,10945.88
2016/5/24,15100.88
2016/5/25,14322
2016/5/26,14743.88
2016/5/27,14961.5
2016/5/28,14488.88
2016/5/29,7262.38
2016/5/30,11033.38
2016/5/31,14223.63
2016/6/1,14514.63
2016/6/2,14406.63
2016/6/3,14620.75
2016/6/4,14138.38
2016/6/5,6753
2016/6/6,11110.75
2016/6/7,13914.63
2016/6/8,13898.38
2016/6/9,359.38
2016/6/10,10606.13
2016/6/11,13820.38
2016/6/12,3683.25
2016/6/13,10697.25
2016/6/14,14220
2016/6/15,14306
2016/6/16,13941.5
2016/6/17,11793
2016/6/18,16241.5
2016/6/19,3768.5
2016/6/20,10934.25
2016/6/21,14911.25
2016/6/22,14653.75
2016/6/23,15058.25
2016/6/24,14928.5
2016/6/25,14409
2016/6/26,3920.75
2016/6/27,10690.75
2016/6/28,14158.75
2016/6/29,14632.75
2016/6/30,15180
2016/7/1,15204.5
2016/7/2,15027.5
2016/7/3,9737.5
2016/7/4,11395.25
2016/7/5,14862.5
2016/7/6,14837.25
2016/7/7,15013.25
2016/7/8,14946
2016/7/9,14167.25
2016/7/10,10244.25
2016/7/11,12026.5
2016/7/12,12490.25
2016/7/13,
2016/7/14,
2016/7/15,7572.75
2016/7/16,14405.25
2016/7/17,9763.25
2016/7/18,11124.75
2016/7/19,14841.75
2016/7/20,14856
2016/7/21,15063
2016/7/22,15145.25
2016/7/23,15552.75
2016/7/24,9963.5
2016/7/25,11388
2016/7/26,8063
2016/7/27,
2016/7/28,15688
2016/7/29,10022.5
2016/8/1,44482.75
2016/8/2,14986.75
2016/8/3,14825.5
2016/8/4,15107.25
2016/8/5,5713
2016/8/6,
2016/8/7,9860.5
2016/8/8,11814
2016/8/9,16032
2016/8/10,7846.75
2016/8/11,11691
2016/8/12,15708.5
2016/8/13,16060.75
2016/8/14,10275.75
2016/8/15,10395.5
2016/8/16,15813.5
2016/8/17,15977.25
2016/8/18,15982.25
2016/8/19,16451.25
2016/8/20,14821
2016/8/21,10857.5
2016/8/22,11298
2016/8/23,16066
2016/8/24,15982.25
2016/8/25,15151.25
2016/8/26,14340.75
2016/8/27,14472
2016/8/28,10173
2016/8/29,10874.5
2016/8/30,14439.75
2016/8/31,14355
2016/9/1,14088
2016/9/2,14255.25
2016/9/3,14448.75
2016/9/4,10170
2016/9/5,11740.75
2016/9/6,15308
2016/9/7,14172
2016/9/8,15465
2016/9/9,15239.5
2016/9/10,14112.5
2016/9/11,9929.5
2016/9/12,10606.75
2016/9/13,14551.25
2016/9/14,14253
2016/9/15,413.5
2016/9/16,3865.25
2016/9/17,1867.75
2016/9/18,10473
2016/9/19,11160
2016/9/20,15492.5
2016/9/21,
2016/9/22,15133.25
2016/9/23,14133.75
2016/9/24,4132.75
2016/9/25,10474.25
2016/9/26,7956
2016/9/27,21865.25
2016/9/28,15236.25
2016/9/29,14502
2016/9/30,6091.75
2016/10/1,457.25
2016/10/2,293.25
2016/10/3,395.5
2016/10/4,385.75
2016/10/5,1621.25
2016/10/6,2780.25
2016/10/7,930.5
2016/10/8,2042
2016/10/9,559.75
2016/10/10,8665.25
2016/10/11,10078.75
2016/10/12,14115
2016/10/13,
2016/10/14,
2016/10/15,35081.5
2016/10/16,
2016/10/17,
2016/10/18,22716
2016/10/19,17741.25
2016/10/20,14398.75
2016/10/21,15178.25
2016/10/22,14985
2016/10/23,4812
2016/10/24,11068.25
2016/10/25,15491.5
2016/10/26,15169
2016/10/27,15499.25
2016/10/28,15554
2016/10/29,15409
2016/10/30,4919.5
2016/10/31,12036
2016/11/1,15853.75
2016/11/2,15562.75
2016/11/3,15558
2016/11/4,15444.5
2016/11/5,15168
2016/11/6,4675.25
2016/11/7,11387.5
2016/11/8,16072.25
2016/11/9,15899.25
2016/11/10,15798
2016/11/11,16052.5
2016/11/12,15202.75
2016/11/13,4572.5
2016/11/14,11496.75
2016/11/15,15284.25
2016/11/16,15396.75
2016/11/17,15329.5
2016/11/18,15732.5
2016/11/19,15180.5
2016/11/20,4560.75
2016/11/21,11767.75
2016/11/22,15847.25
2016/11/23,16551
2016/11/24,15070.25
2016/11/25,15819
2016/11/26,15177.25
2016/11/27,5536.5
2016/11/28,11843
2016/11/29,16137
2016/11/30,15033.5
2016/12/1,15731
2016/12/2,15899
2016/12/3,15708
2016/12/4,4968.5
2016/12/5,11342.5
2016/12/6,16059
2016/12/7,16257
2016/12/8,16284
2016/12/9,16710
2016/12/10,16860
2016/12/11,10461.5
2016/12/12,11295
2016/12/13,16673.5
2016/12/14,16550
2016/12/15,17311
2016/12/16,17137
2016/12/17,15811
2016/12/18,11611.5
2016/12/19,11936.5
2016/12/20,16829
2016/12/21,17106.5
2016/12/22,17584.5
2016/12/23,17729
2016/12/24,18018
2016/12/25,11470
2016/12/26,11749
2016/12/27,16754
2016/12/28,6065.5
2016/12/29,1766
2016/12/30,1538.5
2016/12/31,1615
2017/1/1,611
2017/1/2,12448
2017/1/3,17226
2017/1/4,16876.5
2017/1/5,16588
2017/1/6,17406
2017/1/7,16948
2017/1/8,12528.5
2017/1/9,13283
2017/1/10,17700.5
2017/1/11,17282.5
2017/1/12,18445.5
2017/1/13,18359
2017/1/14,18518
2017/1/15,11713.5
2017/1/16,13758
2017/1/17,18674.5
2017/1/18,18801.5
2017/1/19,18328
2017/1/20,18987.5
2017/1/21,5593.5
2017/1/22,14452
2017/1/23,18439.5
2017/1/24,17278
2017/1/25,15603
2017/1/26,12874
2017/1/27,618.5
2017/1/28,590.5
2017/1/29,1090
2017/1/30,4869
2017/1/31,12483
2017/2/1,14414
2017/2/2,14285
2017/2/3,14349
2017/2/4,16285
2017/2/5,4775.5
2017/2/6,12459
2017/2/7,17304
2017/2/8,17031
2017/2/9,17482.5
2017/2/10,17621
2017/2/11,17463.5
2017/2/12,5224
2017/2/13,12455
2017/2/14,17499
2017/2/15,11400
2017/2/16,
2017/2/17,
2017/2/18,
2017/2/19,
2017/2/20,
2017/2/21,
2017/2/22,
2017/2/23,
2017/2/24,
2017/2/25,
2017/2/26,473.5
2017/2/27,13831.5
2017/2/28,18316
2017/3/1,19241.5
2017/3/2,18979
2017/3/3,19345
2017/3/4,18468
2017/3/5,6461.5
2017/3/6,14088.5
2017/3/7,19019
2017/3/8,19243
2017/3/9,19262.5
2017/3/10,18943
2017/3/11,18699.5
2017/3/12,5957.5
2017/3/13,14610
2017/3/14,19371.5
2017/3/15,19337
2017/3/16,19371.5
2017/3/17,19285
2017/3/18,11672.5
2017/3/19,4857.5
2017/3/20,14354.5
2017/3/21,19748.5
2017/3/22,19523.5
2017/3/23,20158
2017/3/24,19853.5
2017/3/25,16903
2017/3/26,8301.5
2017/3/27,14412
2017/3/28,20259.5
2017/3/29,20161
2017/3/30,19576
2017/3/31,19266.5
2017/4/1,10643
2017/4/2,5238.5
2017/4/3,2400
2017/4/4,535.5
2017/4/5,14366
2017/4/6,19063.5
2017/4/7,19558
2017/4/8,19182
2017/4/9,6069
2017/4/10,15025.5
2017/4/11,19771.5
2017/4/12,18437
2017/4/13,18761.5
2017/4/14,18874
2017/4/15,17900.5
2017/4/16,5763.5
2017/4/17,13469.5
2017/4/18,18233
2017/4/19,12167.5
