y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
254658.44 ,92.00 ,332.65 ,26300.69 ,991382.98 ,0.00 ,0.00 ,0.62 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
225986.54 ,92.00 ,319.02 ,8287.75 ,991382.98 ,0.00 ,0.00 ,0.61 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
686927.80 ,92.00 ,365.87 ,8195.49 ,991382.98 ,0.00 ,0.00 ,0.60 ,CS,B,购物中心,279.00 ,T1,106.07 ,16.00 ,6.00 
211183.56 ,92.00 ,330.15 ,256.76 ,991382.98 ,2.00 ,12255.00 ,0.60 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
284233.94 ,92.00 ,342.84 ,5512.82 ,991382.98 ,6.00 ,5254.83 ,0.60 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
212225.95 ,95.00 ,355.93 ,18282.63 ,991382.98 ,6.00 ,18393.17 ,0.61 ,CS,B,购物中心,279.00 ,T1,106.07 ,16.00 ,6.00 
303316.07 ,95.00 ,354.99 ,0.00 ,991382.98 ,4.00 ,10919.50 ,0.61 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
196018.06 ,95.00 ,359.25 ,0.00 ,991382.98 ,3.00 ,16595.00 ,0.61 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
245428.64 ,93.00 ,360.84 ,0.00 ,991382.98 ,3.00 ,14694.67 ,0.60 ,CS,B,购物中心,279.00 ,T1,106.07 ,16.00 ,6.00 
740516.46 ,93.00 ,329.74 ,2834.00 ,991382.98 ,7.00 ,14510.86 ,0.60 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
79811.21 ,93.00 ,302.17 ,2301.02 ,991382.98 ,6.00 ,14215.67 ,0.60 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
282110.62 ,97.00 ,278.92 ,3459.20 ,991382.98 ,4.00 ,14166.25 ,0.55 ,CS,B,购物中心,279.00 ,T1,106.07 ,16.00 ,6.00 
238680.31 ,97.00 ,304.18 ,621.78 ,991382.98 ,13.00 ,14938.46 ,0.61 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
58448.59 ,97.00 ,320.37 ,5737.75 ,991382.98 ,10.00 ,12240.80 ,0.62 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
203106.16 ,95.00 ,329.21 ,2459.53 ,991382.98 ,9.00 ,13581.78 ,0.59 ,CS,B,购物中心,279.00 ,T1,106.07 ,16.00 ,6.00 
198903.66 ,95.00 ,343.28 ,15027.57 ,991382.98 ,5.00 ,31571.40 ,0.63 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
131954.11 ,95.00 ,382.11 ,9523.73 ,991382.98 ,7.00 ,13667.57 ,0.62 ,CS,B,购物中心,279.00 ,T1,106.07 ,0.00 ,6.00 
101267.59 ,95.00 ,367.87 ,203867.95 ,991382.98 ,11.00 ,21332.18 ,0.57 ,CS,B,购物中心,279.00 ,T1,106.07 ,16.00 ,6.00 
641761.00 ,100.00 ,501.85 ,43724.45 ,3437781.27 ,0.00 ,0.00 ,0.96 ,CS,A,街铺,222.00 ,T1,81.57 ,0.00 ,8.00 
425120.62 ,100.00 ,485.40 ,7083.75 ,3437781.27 ,0.00 ,0.00 ,0.96 ,CS,A,街铺,222.00 ,T1,81.57 ,0.00 ,8.00 
536234.71 ,100.00 ,525.07 ,14783.17 ,3437781.27 ,0.00 ,0.00 ,0.97 ,CS,A,街铺,222.00 ,T1,81.57 ,16.00 ,8.00 
771896.77 ,100.00 ,515.15 ,1346.20 ,3437781.27 ,2.00 ,12255.00 ,0.96 ,CS,A,街铺,222.00 ,T1,81.57 ,0.00 ,8.00 
597982.09 ,100.00 ,539.99 ,15390.19 ,3437781.27 ,6.00 ,5254.83 ,0.96 ,CS,A,街铺,222.00 ,T1,81.57 ,0.00 ,8.00 
581466.38 ,98.00 ,558.81 ,64686.83 ,3437781.27 ,6.00 ,18393.17 ,0.95 ,CS,A,街铺,222.00 ,T1,81.57 ,16.00 ,8.00 
804654.86 ,98.00 ,545.78 ,0.00 ,3437781.27 ,4.00 ,10919.50 ,0.95 ,CS,A,街铺,222.00 ,T1,81.57 ,0.00 ,8.00 
1396870.34 ,98.00 ,548.93 ,0.00 ,3437781.27 ,3.00 ,16595.00 ,0.95 ,CS,A,街铺,222.00 ,T1,81.57 ,0.00 ,8.00 
848622.29 ,97.00 ,548.89 ,0.00 ,3437781.27 ,3.00 ,14694.67 ,0.97 ,CS,A,街铺,222.00 ,T1,81.57 ,16.00 ,8.00 
